recipient_id,recipient_name,recipient_email,campaign_id,campaign_name,send_date,opened_date,clicked_date,bounced,transaction_id,transaction_date,transaction_amount
45,Jessica Martinez,jessica.martinez45@example.com,1,Welcome to the club,2026-08-06,2026-08-14,2026-08-18,False,45,2026-08-09,230.95
47,Emily Lewis,emily.lewis47@mailtest.com,4,Thanks for choosing us,2026-08-19,2026-08-22,,False,47,2026-09-03,315.24
49,Brian Martinez,brian.martinez49@mailtest.com,1,Welcome to the club,2026-08-01,2026-08-09,2026-08-09,False,49,2026-08-14,197.79
50,Stephanie Nguyen,stephanie.nguyen50@example.com,5,Our monthly newsletter,2026-07-14,2026-07-19,2026-07-22,False,50,2026-07-27,271.42
51,Deborah Wright,deborah.wright51@mailtest.com,4,Thanks for choosing us,2026-04-23,2026-04-30,2026-05-02,False,51,2026-05-05,363.47
53,Thomas Harris,thomas.harris53@demoinbox.com,2,You almost completed your order,2026-08-21,2026-08-27,2026-08-30,False,53,2026-08-23,237.8
54,Deborah Wright,deborah.wright54@example.com,3,Offers tailored just for you,2026-04-25,,,False,54,2026-04-26,378.35
55,Jessica Gonzalez,jessica.gonzalez55@example.com,5,Our monthly newsletter,2026-03-20,2026-03-27,,False,55,2026-03-26,235.19
56,Thomas White,thomas.white56@mailtest.com,5,Our monthly newsletter,2026-11-07,,,False,56,2026-11-12,482.54
59,Andrew Williams,andrew.williams59@demoinbox.com,5,Our monthly newsletter,2026-08-08,,,False,59,2026-08-18,11.26
60,Anthony Young,anthony.young60@example.com,4,Thanks for choosing us,2026-07-05,2026-07-12,,False,60,2026-07-13,309.88
61,Paul Walker,paul.walker61@sampleco.net,4,Thanks for choosing us,2026-10-31,2026-11-03,,False,61,2026-11-14,125.71
62,Sandra Torres,sandra.torres62@sampleco.net,3,Offers tailored just for you,2026-01-15,2026-01-20,2026-01-21,False,62,2026-01-23,173.47
63,Joshua Moore,joshua.moore63@example.com,5,Our monthly newsletter,2026-04-08,2026-04-14,2026-04-15,False,63,2026-04-23,226.85
68,William Young,william.young68@example.com,1,Welcome to the club,2026-10-21,2026-10-28,2026-10-29,False,68,2026-10-29,470.83
69,Donald Davis,donald.davis69@example.com,4,Thanks for choosing us,2026-09-09,2026-09-19,,False,69,2026-09-18,47.16
70,Jessica Davis,jessica.davis70@sampleco.net,5,Our monthly newsletter,2026-11-02,,,False,70,2026-11-14,228.0
72,Thomas Garcia,thomas.garcia72@mailtest.com,2,You almost completed your order,2026-03-30,2026-04-01,2026-04-04,False,72,2026-04-14,149.17
73,Joseph Jackson,joseph.jackson73@demoinbox.com,4,Thanks for choosing us,2026-02-06,,,False,73,2026-02-12,215.44
74,Paul Anderson,paul.anderson74@mailtest.com,3,Offers tailored just for you,2026-03-14,2026-03-16,,False,74,2026-03-23,222.38
75,Sandra Martin,sandra.martin75@sampleco.net,3,Offers tailored just for you,2026-09-14,2026-09-21,2026-09-21,False,75,2026-09-24,303.84
77,Timothy Lopez,timothy.lopez77@sampleco.net,5,Our monthly newsletter,2026-08-15,,,False,77,2026-08-28,319.22
78,Ashley Garcia,ashley.garcia78@sampleco.net,3,Offers tailored just for you,2026-07-29,2026-08-08,2026-08-09,False,78,2026-08-13,147.67
79,Betty Scott,betty.scott79@example.com,4,Thanks for choosing us,2026-02-15,2026-02-20,2026-02-23,False,79,2026-02-15,330.54
81,Emily Rodriguez,emily.rodriguez81@demoinbox.com,4,Thanks for choosing us,2026-09-06,2026-09-16,,False,81,2026-09-11,158.82
82,James Scott,james.scott82@sampleco.net,1,Welcome to the club,2026-04-26,,,False,82,2026-05-10,473.8
83,Carol Martinez,carol.martinez83@sampleco.net,3,Offers tailored just for you,2026-09-18,,,False,83,2026-10-03,490.22
87,Richard Thomas,richard.thomas87@sampleco.net,2,You almost completed your order,2026-07-30,2026-08-06,,False,87,2026-08-11,494.26
88,Carol Martinez,carol.martinez88@sampleco.net,1,Welcome to the club,2026-03-06,2026-03-15,2026-03-15,False,88,2026-03-20,54.36
89,Sandra Smith,sandra.smith89@mailtest.com,4,Thanks for choosing us,2026-03-21,2026-03-25,2026-03-30,False,89,2026-03-23,426.62
90,Amanda Wright,amanda.wright90@sampleco.net,3,Offers tailored just for you,2026-11-17,,,False,90,2026-11-18,310.64
91,Jessica Jackson,jessica.jackson91@mailtest.com,1,Welcome to the club,2026-08-11,,,False,91,2026-08-14,224.62
92,Brian Martin,brian.martin92@example.com,1,Welcome to the club,2026-06-16,,,False,92,2026-06-27,218.19
94,Donna Martinez,donna.martinez94@mailtest.com,4,Thanks for choosing us,2026-11-23,2026-11-27,,False,94,2026-12-07,451.1
95,Amanda Wright,amanda.wright95@mailtest.com,1,Welcome to the club,2026-08-15,,,False,95,2026-08-24,321.27
96,Margaret Taylor,margaret.taylor96@sampleco.net,3,Offers tailored just for you,2026-04-12,,,False,96,2026-04-15,122.42
98,Amanda Brown,amanda.brown98@sampleco.net,3,Offers tailored just for you,2026-04-28,2026-05-03,2026-05-04,False,98,2026-05-02,315.98
99,Kenneth Williams,kenneth.williams99@demoinbox.com,4,Thanks for choosing us,2026-01-18,2026-01-20,2026-01-22,False,99,2026-01-31,91.94
100,William Wright,william.wright100@demoinbox.com,5,Our monthly newsletter,2026-09-14,,,False,100,2026-09-22,457.45
